@relation aux
@attribute Sexe {'Femme','Homme'}
@attribute Origine_Ethnique {'Caucasien','Maghreb Moyen Orient','Afrique sub saharienne','Hispanique','Metisse','Afro Americain','Asie du Sud est'}
@attribute Age numeric
@attribute Poids numeric
@attribute Taille numeric
@attribute pain_biscottes_cereales {'Une fois par jour','Plusieurs fois par jour','Jamais','Plusieurs fois par semaine','Occasionnellement'}
@attribute riz_pates_semoule_pommes_de_terre {'Une fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais'}
@attribute legumes_secs {'Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Jamais','Plusieurs fois par jour'}
@attribute legumes {'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Jamais'}
@attribute fruits {'Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Jamais'}
@attribute produits_laitiers {'Plusieurs fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Jamais'}
@attribute viande_ou_oeufs {'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Occasionnellement','Jamais'}
@attribute poisson {'Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Jamais','Plusieurs fois par jour'}
@attribute plats_prets_a_consommer {'Jamais','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute produits_sucres {'Jamais','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute biscuits_aperitif {'Occasionnellement','Jamais','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute complements_alimentaires {'Plusieurs fois par semaine','Plusieurs fois par jour','Jamais','Une fois par jour','Occasionnellement'}
@attribute boissons_sucrees {'Jamais','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour'}
@attribute boissons_alcoolisees {'Plusieurs fois par semaine','Occasionnellement','Jamais','Plusieurs fois par jour','Une fois par jour'}
@attribute class {'1','2'}
@data
'Homme','Caucasien',13,48,162,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','1'
'Homme','Caucasien',15,65,185,'Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Jamais','Une fois par jour','Occasionnellement','1'
'Femme','Caucasien',13,51,160,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme','Caucasien',6,22,115,'Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Jamais','Jamais','1'
'Femme','Caucasien',15,67,164,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme','Caucasien',9,33,131,'Une fois par jour','Une fois par jour','Occasionnellement','Jamais','Jamais','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme','Caucasien',10,31,150,'Une fois par jour','Une fois par jour','Jamais','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Caucasien',10,32,149,'Plusieurs fois par jour','Une fois par jour','Jamais','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','1'
'Homme','Caucasien',7,23,135,'Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Jamais','1'
'Femme','Caucasien',12,35,150,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Jamais','1'
'Homme','Caucasien',17,65,175,'Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Jamais','Une fois par jour','Occasionnellement','1'
'Femme','Caucasien',12,45,153,'Plusieurs fois par jour','Une fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Jamais','Plusieurs fois par jour','Occasionnellement','Jamais','Une fois par jour','Jamais','1'
'Homme','Caucasien',68,77,172,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Plusieurs fois par jour','2'
'Homme','Caucasien',15,52,165,'Occasionnellement','Une fois par jour','Occasionnellement','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Jamais','1'
'Femme','Metisse',14,50,158,'Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Occasionnellement','Jamais','1'
'Femme','Maghreb Moyen Orient',10,30,120,'Une fois par jour','Une fois par jour','Jamais','Jamais','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Jamais','1'
'Femme','Caucasien',6,20,110,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Jamais','Occasionnellement','Jamais','1'
'Femme','Caucasien',18,60,175,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Homme','Caucasien',14,45,160,'Plusieurs fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Jamais','Plusieurs fois par jour','Jamais','1'
'Homme','Afrique sub saharienne',9,45,145,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Jamais','Une fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme','Caucasien',12,30,143,'Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme','Caucasien',15,53,165,'Une fois par jour','Plusieurs fois par jour','Jamais','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par semaine','Occasionnellement','1'
'Femme','Metisse',12,40,156,'Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Jamais','Occasionnellement','Jamais','1'
'Homme','Caucasien',21,60,171,'Plusieurs fois par jour','Plusieurs fois par jour','Jamais','Jamais','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Jamais','Plusieurs fois par jour','Plusieurs fois par semaine','1'
'Homme','Hispanique',68,75,172,'Plusieurs fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Jamais','Jamais','2'
'Homme','Caucasien',24,60,176,'Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Jamais','Occasionnellement','Plusieurs fois par jour','Jamais','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','1'
'Homme','Caucasien',26,91,189,'Plusieurs fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','Jamais','Une fois par jour','Occasionnellement','2'
'Femme','Caucasien',62,68,169,'Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Jamais','Jamais','Jamais','1'
'Homme','Caucasien',43,74,172,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Jamais','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','2'
'Femme','Metisse',57,83,166,'Jamais','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','2'
'Femme','Caucasien',62,76,160,'Une fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Une fois par jour','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Jamais','Jamais','Jamais','Jamais','2'
'Homme','Afrique sub saharienne',41,85,177,'Jamais','Une fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Jamais','Jamais','Plusieurs fois par semaine','Plusieurs fois par semaine','2'
'Femme','Afrique sub saharienne',48,64,164,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','1'
'Femme','Caucasien',7,22,130,'Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Caucasien',16,63,168,'Plusieurs fois par jour','Une fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','Jamais','Jamais','1'
'Homme','Caucasien',10,32,151,'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Jamais','Occasionnellement','Jamais','1'
'Homme','Caucasien',19,65,174,'Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Plusieurs fois par semaine','Jamais','Occasionnellement','Plusieurs fois par semaine','1'
'Homme','Caucasien',16,105,170,'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','2'
'Homme','Caucasien',17,64,185,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par jour','Occasionnellement','1'
